Primary.Type.Num,Location.Description.Num,Domestic,Latitude,Longitude,Target,Prediction
13,9,0,41.66324995,-87.635724425,0,1
0,0,0,41.895530961999995,-87.708924395,0,0
3,0,0,41.852514905999996,-87.715024901,1,0
7,4,0,42.010228556,-87.672726574,1,1
0,16,0,41.821345947,-87.704491075,0,0
2,4,0,42.005168784,-87.682422303,0,0
0,5,0,41.868541914,-87.639235361,0,0
2,38,0,41.709627491999996,-87.669722765,0,0
0,1,0,41.671908209,-87.63570049200001,0,0
5,2,0,41.943520821,-87.72609253,0,0
5,6,0,41.877847257,-87.65338922299999,1,0
0,0,0,41.726418324,-87.64334624600002,0,0
2,1,0,41.677330022,-87.62744599999998,0,0
0,2,0,41.961277629,-87.694061233,0,0
0,1,0,41.79799511,-87.596072759,0,0
3,2,1,41.794062319,-87.662765006,1,0
1,1,1,41.727823465,-87.58419294299999,0,0
2,1,0,41.710870894,-87.552314223,0,0
0,0,0,41.940868701,-87.76167159200001,0,0
4,16,0,41.751708436,-87.568145845,0,0
2,0,0,41.854244056,-87.71507431799999,0,0
0,8,0,41.962396114,-87.763685295,0,0
2,12,0,41.868030585,-87.686073261,0,0
1,11,0,41.706213292,-87.64038721899998,0,0
0,22,0,41.888165132,-87.62293721200001,0,0
2,4,0,41.697244951,-87.64131836,0,0
0,1,0,41.90722711,-87.662728212,0,0
0,0,0,41.788517381,-87.668649434,0,0
0,0,0,41.789672421999995,-87.716824585,0,0
0,15,0,41.912233137,-87.634742921,0,0
3,3,0,41.736887423,-87.58749139,1,0
0,0,0,41.738769728,-87.65706772700001,1,0
1,2,1,41.734885649,-87.54577657600002,0,0
3,11,0,41.778768071,-87.655694415,1,0
1,0,0,41.750832464,-87.605224746,0,0
1,3,0,41.873807522,-87.69445629,0,0
4,0,0,41.768832913000004,-87.644941074,1,0
0,10,0,41.914401629000004,-87.762425881,0,0
6,0,0,41.88546223,-87.69394357,1,1
3,0,1,41.88275944,-87.709463721,0,0
1,21,0,41.960778173,-87.74273133700001,0,0
0,0,0,41.903354381,-87.666864606,0,0
4,1,0,41.893588705999996,-87.662334661,0,0
12,0,0,41.868845378,-87.74094220399998,1,1
0,2,0,41.977835369,-87.68026977,0,0
2,5,0,41.927015033,-87.713387341,0,0
0,13,0,41.909664252,-87.742728815,1,1
1,2,1,41.802684153,-87.61498448200001,0,0
0,13,0,41.754592961,-87.74152853700001,1,1
4,36,0,41.684160442,-87.66269195,0,0
6,9,0,41.750354371,-87.599095474,1,1
1,0,0,41.880741173000004,-87.72457214100002,0,0
0,2,1,41.916319415,-87.70205685100002,0,0
6,0,0,41.880605787,-87.702037606,1,1
2,0,0,41.76486708,-87.58056951799999,0,0
0,1,0,41.912025084,-87.761866579,0,0
0,4,0,41.878637082,-87.68315348200001,0,0
2,1,0,41.831556558,-87.65468293100002,0,0
2,10,0,41.673440338,-87.62372569600002,0,0
1,3,0,41.941089157,-87.663851103,0,0
0,6,0,41.765720398,-87.614832472,0,0
0,1,0,41.942686966,-87.650914376,1,0
0,0,0,41.885916313,-87.654482517,0,0
3,0,0,41.808275699,-87.713719196,0,0
0,5,0,41.802380494,-87.612508546,0,0
1,3,0,41.903384824,-87.694429675,1,0
6,3,0,41.903197372,-87.725100904,1,1
2,2,1,41.819424749,-87.611128798,0,0
3,0,0,41.748602054,-87.658844476,0,0
1,4,0,41.962583234,-87.65567317,1,0
0,2,0,41.883090078,-87.774753422,0,0
0,1,0,41.851491339,-87.72843193,0,0
2,1,0,41.779826622,-87.739892365,0,0
0,0,0,41.911080583,-87.684804555,0,0
1,22,1,41.871556324000004,-87.624163883,0,0
9,1,0,41.865529454000004,-87.676211793,0,0
5,0,0,41.885326395999996,-87.63391971799999,0,0
7,15,0,41.770969165,-87.586268228,1,1
6,9,0,41.782266303,-87.663052917,1,1
0,0,0,41.791459076,-87.69129594200001,0,0
0,9,0,41.902522915,-87.63140683,1,0
0,17,0,41.876898356,-87.741201984,0,0
0,0,0,41.896145709,-87.66269723399998,0,0
5,1,0,41.971179614,-87.71222012700001,0,0
5,0,0,41.866993033,-87.656984681,0,0
0,0,0,41.950452526999996,-87.765192255,1,0
3,26,0,41.79329893,-87.66456619,0,0
6,8,0,41.773775349,-87.642648291,1,1
1,2,1,42.015462532,-87.668116734,0,0
0,1,0,41.966354245,-87.658082115,0,0
1,11,0,41.783881580999996,-87.672811235,0,0
1,1,1,41.969511444,-87.774208648,0,0
0,15,0,41.881203182,-87.647342333,0,0
3,0,0,41.737158469,-87.66309714799999,1,0
3,2,0,41.865891735,-87.70565541299999,0,0
1,22,1,41.880691384,-87.631223519,0,0
1,7,0,41.923646223,-87.78941054,0,0
0,2,0,41.755409918000005,-87.551349331,0,0
6,3,0,41.885342444,-87.710092279,1,1
0,1,0,41.749402954000004,-87.63669439799999,0,0
3,2,1,41.88240688,-87.735532618,0,0
0,4,0,41.866739694,-87.677175972,0,0
6,1,0,41.904498621,-87.76816395,1,1
1,2,1,41.940774423,-87.737726055,0,0
